program_id,year,term,degree,school_tier,undergrad_major,gpa,gpa_raw,toefl,toefl_raw,gre,gre_raw,work_exp,research,awards
620,2024,Fall,MS,本科：北大，清华，科大，中科院，特色学校牛专业,金融,3.84,3.84||3.84||8/176,,\n总分+单项(R+L+S+W)7.5||8.5||7.5||7||6.5,332,\n总分+单项(V+Q+AW)332||162||170||3.5,短暂实习或全职不超过3个月,两段量化科研,美赛M
620,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
129,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
129,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
170,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
162,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
180,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
324,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
87,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
230,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
46,2023,Fall,MS申请目标AD-自费,本科: Top 15本科学校名称武汉大学,金融工程,3.85,3.85||4,106,\n总分+单项(R+L+S+W)106||29||29||22||26,328,\n总分+单项(V+Q+AW)328||158||170||3,,,
46,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
1700,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
511,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
1017,2027,Fall,MS申请目标AD-自费,本科: Top 30本科学校名称UIUC,CS＋ECON,4.0,4.0||4,,,,,,,
